"Entry:","Transmembrane","DIBMA 10","DIBMA 12","DIBMA Glycerol","DIBMA Glucosamine","Amphipol 17","Amphipol 18","AASTY 6- 45","AASTY 11- 45","AASTY 6- 50","AASTY 11- 50","AASTY 6- 55","AASTY 11- 55","SMALP 502-E","SMALP 140-I","SMALP 300","SMALP 200","SMALP 140","DDM","DM","LMNG","Fos-12","Digitonin-A","RIPA"
"A0A087WTH5 (KCNE1B)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A096LP01 (SMIM26)","1",0.626222,NaN,NaN,0.609496,0.957341,NaN,NaN,0.254101,NaN,0.064623,NaN,0.560592,0.382178,NaN,0.711937,0.593392,NaN,NaN,0.805863,NaN,NaN,NaN,NaN
"A0A0B4J2F0 (PIGBOS1)","1",NaN,NaN,0.203552,NaN,NaN,0.742948,NaN,NaN,0.3376,0.412029,0.352638,NaN,NaN,NaN,NaN,0.405231,NaN,NaN,NaN,NaN,1.0,0.457734,NaN
"A0A0D9SF12 (CCDC163)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A0K2S4Q6 (CD300H)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A0U1RRA0 (ZNF593OS)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A0U1RRN3 (SPTY2D1OS)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GTK4 (FAM237A)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GTQ4 (MYMX)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GTU2 (CTXND1)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A087WTH5 (KCNE1B)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A096LP01 (SMIM26)","1",0.626222,NaN,NaN,0.609496,0.957341,NaN,NaN,0.254101,NaN,0.064623,NaN,0.560592,0.382178,NaN,0.711937,0.593392,NaN,NaN,0.805863,NaN,NaN,NaN,NaN
"A0A0B4J2F0 (PIGBOS1)","1",NaN,NaN,0.203552,NaN,NaN,0.742948,NaN,NaN,0.3376,0.412029,0.352638,NaN,NaN,NaN,NaN,0.405231,NaN,NaN,NaN,NaN,1.0,0.457734,NaN
"A0A0D9SF12 (CCDC163)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A0K2S4Q6 (CD300H)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A0U1RRA0 (ZNF593OS)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A0U1RRN3 (SPTY2D1OS)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GTK4 (FAM237A)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GTQ4 (MYMX)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GTU2 (CTXND1)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GVN3 (C2orf92)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GVQ0 (SPAAR)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GVT2 (SMIM36)","1",,,,,,,,,,,,,,,,,,,,,,,
"A0A1B0GVV1 (SMIM35)","1",,,,,,,,,,,,,,,,,,,,,,,
